date;asad;kurds;isis_syria;turkeysyria;syrian_rebels;others
1512946800000;56,39;23,72;5,15;1,19;10,67;1,57
1513551600000;56,39;23,73;5,18;1,19;10,64;1,56
1514156400000;56,41;23,72;5,17;1,19;10,62;0,01
1514761200000;56,53;23,78;5,13;1,19;10,52;1,52
1515366000000;56,84;23,78;5,13;1,19;10,23;1,49
1515970800000;57,57;23,8;5,34;1,19;9,65;1,11
1516575600000;58,2;23,51;5,52;1,18;9,15;0,03
1517180400000;58,33;23,53;5,35;1,18;9,14;0,04
1517785200000;58,41;23,6;5,4;1,18;8,91;0,07
1518390000000;59,1;24,12;5,11;1,2;9,13;0,1
1518994800000;59,18;24,07;5;1,2;9,15;0,17
1519599600000;59,17;23,95;4,99;1,2;9,15;0,3
1520204400000;59,18;23,88;4,99;1,21;9,14;0,38
1520809200000;59,18;23,67;4,99;1,21;9,13;0,59
1521414000000;59,18;23,38;4,99;1,21;9,13;0,88
1522015200000;59,18;23,31;4,99;1,21;9,12;0,95
1522620000000;59,18;23,31;4,99;0;9,12;2,16
1523224800000;59,18;23,31;4,99;0;9,12;2,16
